NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;VIDEO_DURATION;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;WORDS_PER_MINUTE;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
82.0;10.0;5309;32.0;0.998859749145;1500.0;76.0;22.0;247.463467291;0.0573537762635;64.85;101.0;1.77777777778;1677.7215;17.0689977153;10.3;1761.0;4.9;0.307211811471;14.1333333333;541.0;7.14142616402;12.413940154;78.14;5.57451269893;10.0;124.442747498;125.081018655;8.6;108.0;easy
94.0;6.9;4300;51.0;1.0;1500.0;88.0;39.0;88.9122524354;0.109548482605;72.76;148.0;1.77777777778;0.0;20.942169506;6.5;1351.0;24.9;0.297557364915;7.78333333333;402.0;19.0092905767;24.1993147014;4.52;41.0424694274;3.0;173.540714416;173.652438241;33.5;126.0;easy
136.0;6.3;4287;47.0;1.0;1500.0;126.0;29.0;172.845615809;0.067804646752;79.9;143.0;1.77777777778;1677.7215;36.2253963624;6.8;2109.0;11.2;0.281175912755;11.3666666667;593.0;12.5765881974;14.7303255605;40.04;26.27587687;10.0;186.217374678;184.867051684;16.9;179.0;easy
91.0;5.2;4714;80.0;0.998529411765;1500.0;120.0;59.0;177.10938292;0.162357185809;82.75;270.0;1.77777777778;1664.5629;24.6034498398;5.3;1663.0;6.0;0.269993986771;10.95;449.0;24.647030185;46.3466868561;69.79;64.6120303905;27.0;163.416343933;151.442307692;9.8;131.0;intermediate
47.0;9.8;5249;32.0;1.0;1404.0;40.0;11.0;213.287132716;0.0916179337232;70.77;94.0;1.6;1677.7215;23.9627811489;10.5;1026.0;7.9;0.278752436647;6.66666666667;286.0;14.0996475088;14.3180017286;59.5;12.2120240579;8.0;152.679777811;152.546186345;13.7;90.0;easy
26.0;6.9;5483;81.0;1.0;1500.0;27.0;10.0;225.544213312;0.706024096386;72.76;293.0;1.77777777778;1592.1654;15.454909931;6.2;415.0;-0.8;0.349397590361;2.76666666667;145.0;105.833483836;101.199238795;124.95;15.4317244789;21.0;153.127113954;151.34549395;2.7;64.0;intermediate
62.0;9.4;5252;46.0;1.0;1404.0;37.0;13.0;123.79968106;0.14875;66.47;119.0;1.6;1677.7215;27.5046194935;10.9;800.0;8.7;0.2475;4.93333333333;198.0;24.0752604781;46.1244056362;68.3;41.342277268;6.0;167.719596434;161.041238156;12.9;112.0;intermediate
43.0;6.8;5487;42.0;1.0;1500.0;51.0;28.0;222.468411643;0.157068062827;73.17;120.0;1.77777777778;1592.1654;25.0757398273;7.3;764.0;7.6;0.306282722513;4.45;234.0;26.9561961812;110.688974705;71.04;26.172149924;7.0;178.962674955;170.947210782;11.9;99.0;easy
66.0;14.6;5257;41.0;1.0;1500.0;24.0;6.0;222.348132862;0.11855104281;58.29;108.0;1.77777777778;1677.7215;13.4767341666;17.3;911.0;5.6;0.226125137212;5.93333333333;206.0;18.1792677795;24.6466463283;76.22;12.6611095117;9.0;153.081845739;153.008837144;12.7;82.0;easy
99.0;7.9;658;59.0;0.995633187773;1500.0;60.0;57.0;190.279005405;0.208988764045;64.91;186.0;1.77777777778;1677.7215;34.5342339473;9.6;890.0;9.3;0.338202247191;7.38333333333;301.0;25.187325088;24.3443457237;55.74;50.4632603594;12.0;134.062356106;120.249164936;17.0;171.0;easy
