NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;WORDS_PER_MINUTE;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;VIDEO_DURATION;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
63.0;6.9;3267;106.0;1.0;1500.0;67.0;59.0;213.267886803;0.311218335344;67.35;258.0;1.77777777778;1605.324;36.2156536957;7.5;829.0;7.0;0.317249698432;162.306970172;263.0;48.4416072099;103.139302077;56.32;41.643800727;39.0;5.31666666667;156.214795344;15.1;108.0;easy
64.0;4.5;3274;520.0;1.0;1500.0;73.0;197.0;210.411652604;1.21758839529;89.99;1343.0;1.77777777778;1664.5629;32.2306066772;4.7;1103.0;6.0;0.250226654578;189.010650056;276.0;176.625312349;42.6880528582;69.68;27.9870813757;133.0;7.6;145.061593091;10.4;51.0;easy
70.0;4.6;719;163.0;1.0;1500.0;61.0;62.0;230.724808496;0.690694626474;84.17;527.0;1.77777777778;1677.7215;16.6255069599;5.3;763.0;10.7;0.366972477064;135.058392893;280.0;75.6206055388;15.3635830779;62.92;10.6985203404;21.0;6.96666666667;109.77184675;15.3;107.0;difficult
68.0;4.7;3282;51.0;1.0;1500.0;63.0;42.0;224.420401709;0.276035131744;83.96;220.0;1.77777777778;1585.5861;54.6400162364;6.6;797.0;6.3;0.303638644918;163.991769547;242.0;42.5778982001;120.011812743;74.39;37.9211964924;16.0;5.16666666667;154.441648926;10.9;109.0;difficult
99.0;5.9;3278;99.0;1.0;1500.0;68.0;91.0;217.332919347;0.321878579611;75.4;281.0;1.77777777778;1585.5861;32.2895024516;8.0;873.0;11.3;0.320733104238;153.795051632;280.0;45.3128359493;115.493223104;45.15;35.5926726391;16.0;6.2;140.614921522;18.8;129.0;easy
104.0;7.2;3295;72.0;1.0;1500.0;67.0;56.0;231.903781062;0.199078341014;71.95;216.0;1.77777777778;1585.5861;29.3506169487;8.2;1085.0;8.6;0.292165898618;170.917282336;317.0;31.2703583062;111.039190714;57.77;22.1195190194;16.0;6.9;157.075642418;15.6;138.0;easy
52.0;6.7;739;221.0;1.0;1500.0;50.0;66.0;212.392678778;0.846467391304;73.47;623.0;1.77777777778;1677.7215;16.4522090585;6.5;736.0;10.0;0.323369565217;121.067701828;238.0;90.3640671083;20.0076761878;53.92;21.0900975363;36.0;6.88333333333;107.189479283;12.7;100.0;intermediate
26.0;7.7;744;77.0;1.0;1500.0;25.0;28.0;231.672726617;0.648148148148;70.84;280.0;1.77777777778;1677.7215;14.2291949822;7.5;432.0;8.5;0.3125;118.653037351;135.0;58.1033409421;13.0071025331;63.19;11.4517821752;17.0;4.81666666667;88.8151068686;11.3;61.0;easy
34.0;5.2;751;98.0;1.0;1500.0;44.0;53.0;234.922441537;0.672233820459;77.33;322.0;1.77777777778;1677.7215;16.7466639753;4.5;479.0;7.2;0.388308977035;108.159609741;186.0;63.3069008454;12.1066342275;72.05;9.83874476237;20.0;5.08333333333;93.9773248575;9.8;83.0;intermediate
137.0;10.5;1751;96.0;0.99511002445;1500.0;57.0;85.0;238.395105775;0.328611898017;52.6;348.0;1.77777777778;1677.7215;13.6402233264;10.6;1059.0;31.6;0.316336166195;172.244080995;335.0;51.0825688073;24.3561371363;-7.64;6.9102879275;5.0;6.8;153.688073394;38.7;157.0;difficult
