WORD_AMOUNT,NOUN_PHRASES_AMOUNT,PHRASES_AMOUNT,VIDEOID,AUTOMATED_READABILITY_INDEX,FLESCH_READING_EASE,DIFFICULT_WORDS_AMOUNT,qualification,FLESCH_KINCAID_GRADE
428,30,22,5556,10.3,68.6,71,5,8.5
633,31,33,5557,8.9,68.91,76,4,8.4
940,70,79,5558,6.3,76.32,111,3.5,5.6
712,44,42,5559,9.1,71.14,92,4,7.6
631,44,40,5560,8.3,72.36,79,4.5,7.1
131,6,7,5561,11.7,60.95,31,5,9.4
2968,193,147,4027,9.2,67.89,271,2.5,8.8
1167,125,76,5568,9,64.3,160,3.5,8.1
1756,107,98,5621,8,78.69,119,5,6.7
1261,75,94,5622,5.1,83.25,111,5,5
300,14,16,5624,9.6,69.31,47,5,8.3
4920,318,374,5628,4.4,83.46,307,5,4.9
1650,100,91,4266,7.8,70.02,114,2.5,8
4050,249,273,5630,5.3,81.83,261,4.5,5.5
