NOUN_PHRASES_AMOUNT;FLESCH_KINCAID_GRADE;VIDEOID;VIDEO_NOUN_PHRASES;VIDEO_AVERAGE_BRIGHTNESS;VIDEO_SIZE;PHRASES_AMOUNT;VIDEO_DIFFICULT_WORDS;VIDEO_AVERAGE_LIGHT_EXPOSURE;SPEECH_DISPLAY_WORDS_RATIO;FLESCH_READING_EASE;VIDEO_WORDS_COUNT;VIDEO_ASPECT_RATIO;VIDEO_DOMINANT_COLOR;VIDEO_AVERAGE_COLORFULNESS;AUTOMATED_READABILITY_INDEX;WORD_AMOUNT;FLESCH_KINCAID_VIDEO_GRADE;UNCOMMON WORDS RATIO;WORDS_PER_MINUTE;UNCOMMON WORDS AMOUNT;WORDS_PER_MINUTE_WHOLE_VIDEO;VIDEO_AVERAGE_HUE;EASY_VIDEO_READ;VIDEO_AVERAGE_SATURATION;VIDEO_PHRASES_COUNT;VIDEO_DURATION;WORDS_PER_MINUTE_WHOLE;AUTOMATED_VIDEO_READABILITY_INDEX;DIFFICULT_WORDS_AMOUNT;score
70.0;5.1;7.0;142.0;1.0;1500.0;47.0;13.0;156.37179809237298;0.794435857805;82.85;514.0;1.77777777778;0.0;28.011958630002074;3.9;647.0;2.3;0.425038639876;150.170963867;275.0;115.739698266;54.59981607914873;106.4;58.74233075987193;33.0;4.43333333333;147.03895519;0.8;37.0;easy
38.0;7.7;8.0;80.0;1.0;1500.0;32.0;12.0;144.45487084478475;0.451070336391;76.15;295.0;1.77777777778;0.0;27.977018780675422;6.5;654.0;5.8;0.403669724771;145.302302672;264.0;62.6016835255;26.94329902008899;97.27;69.99374472418528;12.0;4.7;139.633585626;8.9;52.0;easy
25.0;5.6;11.0;58.0;1.0;1500.0;42.0;5.0;142.9207701851852;0.264240506329;81.63;167.0;1.77777777778;0.0;31.03055558146229;3.8;632.0;4.4;0.337025316456;154.430122805;213.0;40.0848101772;31.867618125000007;101.02;64.14555928240742;8.0;4.15;152.178261391;6.4;40.0;easy
79.0;7.6;154.0;150.0;0.989323843416;1500.0;40.0;127.0;142.3918876587144;0.551824817518;71.04;378.0;1.77777777778;1677.7215;9.996678519769356;9.3;685.0;11.4;0.32700729927;162.355750099;224.0;83.6838609697;12.297537783928652;34.12;13.084255044264314;32.0;4.51666666667;150.542395395;17.5;127.0;easy
90.0;11.4;155.0;166.0;0.994444444444;1500.0;46.0;176.0;233.75036027520557;0.575645756458;45.05;468.0;1.77777777778;1677.7215;14.262434536520548;12.2;813.0;38.8;0.312423124231;147.347740668;254.0;78.08893462;10.700660520618992;-64.12;8.556555914566188;7.0;5.98333333333;133.485358325;44.5;197.0;difficult
120.0;10.4;156.0;130.0;0.983908045977;1500.0;54.0;143.0;238.27001715712373;0.359595959596;52.9;356.0;1.77777777778;1677.7215;6.237328610240388;11.5;990.0;22.3;0.325252525253;142.482135044;322.0;49.1690069518;4.122964186888036;5.9;3.4170521587200215;9.0;7.23333333333;134.938538741;30.6;209.0;intermediate
92.0;10.1;4259.0;47.0;1.0;1500.0;59.0;53.0;188.70716239805574;0.128519855596;64.54;178.0;1.77777777778;1664.5629;8.677244394094895;11.1;1385.0;9.6;0.241877256318;185.850860421;335.0;23.6660166637;5.778105044842309;55.03;4.030076214575564;11.0;7.51666666667;183.079241269;14.7;152.0;easy
100.0;8.0;4266.0;82.0;1.0;1500.0;91.0;57.0;153.3959284609108;0.20303030303;70.02;335.0;1.77777777778;1677.7215;14.05997255460448;7.8;1650.0;10.3;0.281818181818;179.632890938;465.0;36.2815884477;12.87512631159374;64.14;20.953743219841424;14.0;9.23333333333;178.592057762;14.5;114.0;intermediate
73.0;6.3;4274.0;55.0;1.0;1500.0;89.0;54.0;131.01925489422507;0.140666666667;79.7;211.0;1.77777777778;1677.7215;15.673757812294792;6.8;1500.0;12.0;0.256666666667;189.641502561;385.0;26.8687125939;11.877274844253042;38.11;15.255606010913391;13.0;7.85;187.953648287;13.1;103.0;difficult
52.0;7.1;4275.0;104.0;1.0;1500.0;77.0;73.0;108.4753651001784;0.238160603981;77.67;347.0;1.77777777778;0.0;21.9279696871752;7.3;1457.0;8.3;0.223747426218;191.736774876;326.0;45.4475999214;15.927074518479458;58.38;21.922743022998418;27.0;7.63333333333;190.041693043;14.4;100.0;difficult
83.0;8.0;4294.0;174.0;1.0;1500.0;48.0;120.0;89.49291841715858;0.472727272727;80.85;546.0;1.77777777778;0.0;20.982620193936942;9.9;1155.0;13.0;0.263203463203;177.333813913;304.0;84.270096463;25.707638184725006;40.89;40.47007106104604;25.0;6.46666666667;178.726688103;18.4;89.0;difficult
97.0;8.6;4295.0;31.0;1.0;1500.0;65.0;34.0;175.87450861919612;0.09375;73.92;138.0;1.77777777778;1677.7215;15.357794521376428;9.3;1472.0;29.0;0.26222826087;183.846794338;386.0;17.2148530084;9.580182237525989;9.9;13.049076652774572;2.0;8.0;186.86847686;38.3;102.0;difficult
94.0;6.9;4300.0;51.0;1.0;1500.0;88.0;39.0;88.91225243542803;0.109548482605;72.76;148.0;1.77777777778;0.0;20.94216950595684;6.5;1351.0;24.9;0.297557364915;173.540714416;402.0;19.0092905767;24.1993147013905;4.52;41.04246942735093;3.0;7.78333333333;173.652438241;33.5;126.0;intermediate
113.0;5.8;4306.0;29.0;1.0;1500.0;92.0;23.0;109.45833015866323;0.0647431386348;81.22;92.0;1.77777777778;0.0;20.597016929564962;5.7;1421.0;18.8;0.341308937368;178.317677092;485.0;11.5679617754;29.970481370582796;14.93;48.21848415554555;3.0;7.95;178.674713944;22.9;106.0;difficult
121.0;7.7;4313.0;35.0;1.0;1500.0;101.0;41.0;138.88618810490016;0.0732883317261;76.05;152.0;1.77777777778;1677.7215;30.536056695404238;8.4;2074.0;8.0;0.279170684667;176.724713341;579.0;12.9359867236;16.676871102283705;64.51;32.38566078595747;10.0;11.75;177.529396746;11.3;156.0;difficult
108.0;6.6;4318.0;105.0;1.0;1500.0;94.0;73.0;91.76566464585763;0.189238210399;78.99;313.0;1.77777777778;0.0;21.722037952353553;7.6;1654.0;12.1;0.273276904474;169.872148132;452.0;32.3113451017;29.396061004935177;43.12;53.58430122891887;16.0;9.68333333333;170.021678538;15.6;141.0;difficult
61.0;7.8;4319.0;45.0;1.0;1500.0;63.0;40.0;113.7877675409659;0.140921409214;70.53;156.0;1.77777777778;0.0;18.07122619245303;8.2;1107.0;14.6;0.274616079494;166.744212366;304.0;23.3859684189;20.753727821017474;36.63;34.41736968449933;6.0;6.66666666667;165.650609634;18.5;117.0;difficult
6.0;10.4;5840.0;0.0;0.923076923077;1500.0;3.0;0.0;114.17825958570751;0.0;42.07;0.0;1.77777777778;0.0;27.012245550651638;12.2;37.0;0.0;0.243243243243;201.818181818;9.0;0.0;50.08442485754986;0.0;67.94893206908831;1.0;0.2;200.325732899;-1.0;5.0;easy
70.0;9.6;4333.0;20.0;1.0;1500.0;45.0;24.0;191.02302340154483;0.0752256770311;65.86;75.0;1.77777777778;1677.7215;19.412014162949774;9.8;997.0;10.3;0.269809428285;177.427039905;269.0;13.3230696352;9.609066084082107;47.79;11.580661371584842;5.0;5.61666666667;176.575082899;13.8;114.0;intermediate
81.0;7.7;4334.0;55.0;1.0;1500.0;57.0;35.0;187.2986716612445;0.152192605331;76.15;177.0;1.77777777778;1677.7215;19.297594535522503;8.3;1163.0;12.0;0.272570937231;189.152841376;317.0;28.7399870102;9.809435070487156;54.26;13.478376152193862;7.0;6.15;189.32669409;17.2;119.0;difficult
156.0;7.9;4337.0;21.0;1.0;1500.0;91.0;37.0;182.29738379114386;0.0529100529101;75.74;100.0;1.77777777778;1677.7215;25.426300513439845;8.5;1890.0;22.8;0.255026455026;192.384769539;482.0;10.1142914939;11.174839665771913;20.73;17.07937810401338;2.0;9.88333333333;190.957823404;31.1;166.0;difficult
76.0;8.0;4340.0;141.0;1.0;1500.0;58.0;96.0;162.78829524306448;0.293398533007;75.34;360.0;1.77777777778;1677.7215;31.40174620144301;9.2;1227.0;10.5;0.246128769356;173.780509519;302.0;51.1702833318;15.549308614607158;41.97;25.953126284536822;29.0;7.03333333333;173.694683976;18.6;109.0;difficult
76.0;4.6;4370.0;62.0;1.0;1500.0;116.0;40.0;194.06010881707044;0.100727476217;89.68;180.0;1.77777777778;1677.7215;19.21838778183291;4.8;1787.0;4.3;0.29155008394;169.108227037;521.0;16.6184526374;29.053867803300086;79.67;14.547912114197526;21.0;10.8166666667;164.061057426;9.8;110.0;difficult
115.0;4.9;4378.0;17.0;1.0;1500.0;126.0;32.0;196.317138027653;0.0500603136309;83.46;83.0;1.77777777778;1677.7215;24.359797486756644;4.7;1658.0;14.9;0.349215922799;172.785571774;579.0;8.66931272196;22.403506015660728;24.98;16.867051140910142;4.0;9.56666666667;172.028410278;19.7;135.0;difficult
101.0;8.5;4380.0;58.0;1.0;1500.0;94.0;64.0;190.61478005452;0.103825136612;68.6;190.0;1.77777777778;1677.7215;23.872992577537847;9.5;1830.0;11.5;0.281420765027;180.422467058;515.0;18.7546269639;13.655800054697648;50.06;14.390829526072126;9.0;10.1166666667;180.439253105;17.6;175.0;difficult
117.0;8.3;4400.0;30.0;1.0;1500.0;79.0;32.0;191.21511972860296;0.0764627659574;69.11;115.0;1.77777777778;1677.7215;22.04248402804614;9.1;1504.0;9.6;0.28125;173.022503706;423.0;13.2802124834;7.73883515476615;60.45;13.016774127492889;6.0;8.65;172.98920261;14.2;153.0;intermediate
92.0;5.4;4403.0;113.0;1.0;1500.0;90.0;115.0;101.73884197514714;0.268088347296;82.04;352.0;1.77777777778;0.0;15.242066493351093;5.9;1313.0;6.7;0.277227722772;170.167071156;364.0;45.6925273679;19.054406889237562;68.06;25.402019494324332;30.0;7.7;170.308511099;16.2;140.0;intermediate
